# OTU	G22445_stitched
OTU130	8
OTU131	9
OTU132	5
OTU133	7
OTU134	9
OTU135	6
OTU136	5
OTU137	9
OTU138	4
OTU139	6
OTU38	483
OTU39	278
OTU36	282
OTU37	259
OTU34	397
OTU35	639
OTU32	420
OTU33	406
OTU30	356
OTU31	370
OTU181	3
OTU180	6
OTU182	4
OTU128	6
OTU127	9
OTU126	9
OTU125	8
OTU124	10
OTU123	9
OTU122	11
OTU121	18
OTU120	10
OTU83	41
OTU82	103
OTU81	54
OTU80	39
OTU87	34
OTU86	66
OTU85	32
OTU84	47
OTU89	26
OTU88	38
OTU158	5
OTU159	88
OTU152	4
OTU153	4
OTU151	4
OTU156	4
OTU154	6
OTU155	7
OTU14	1167
OTU15	1679
OTU16	940
OTU17	902
OTU10	2123
OTU11	1389
OTU12	1276
OTU13	1617
OTU18	1092
OTU19	1064
OTU98	17
OTU99	45
OTU94	51
OTU95	77
OTU96	46
OTU97	29
OTU90	31
OTU91	49
OTU92	25
OTU93	28
OTU149	313
OTU141	4
OTU140	8
OTU143	5
OTU142	9
OTU145	7
OTU144	4
OTU147	3
OTU146	6
OTU61	100
OTU60	134
OTU63	84
OTU62	122
OTU65	100
OTU64	90
OTU67	95
OTU66	71
OTU69	73
OTU68	92
OTU72	72
OTU73	74
OTU70	96
OTU71	55
OTU76	49
OTU77	57
OTU74	114
OTU75	69
OTU78	67
OTU79	68
OTU8	2433
OTU9	2118
OTU6	2141
OTU7	2713
OTU4	7185
OTU5	2373
OTU2	9852
OTU3	13765
OTU1	13593
OTU49	200
OTU48	251
OTU47	240
OTU46	232
OTU45	243
OTU44	235
OTU43	272
OTU42	267
OTU41	228
OTU40	264
OTU174	5
OTU175	3
OTU176	2
OTU177	2
OTU170	40
OTU171	5
OTU172	5
OTU173	3
OTU179	27
OTU116	13
OTU117	8
OTU114	26
OTU115	12
OTU112	18
OTU113	25
OTU110	14
OTU111	748
OTU118	10
OTU119	6
OTU58	156
OTU59	115
OTU50	208
OTU51	150
OTU52	330
OTU53	166
OTU54	142
OTU55	107
OTU56	212
OTU57	102
OTU163	7
OTU162	6
OTU160	3
OTU167	4
OTU166	3
OTU165	11
OTU164	2
OTU169	5
OTU105	16
OTU104	14
OTU107	16
OTU106	16
OTU101	29
OTU100	27
OTU103	18
OTU102	19
OTU108	13
OTU29	509
OTU28	597
OTU25	1241
OTU24	674
OTU27	569
OTU26	820
OTU21	883
OTU20	949
OTU23	719
OTU22	837
