#OTU ID	G22445_stitched
OTU3	13765
OTU1	13593
OTU2	9852
OTU4	7185
OTU7	2713
OTU8	2433
OTU5	2373
OTU6	2141
OTU10	2123
OTU9	2118
OTU15	1679
OTU13	1617
OTU11	1389
OTU12	1276
OTU25	1241
OTU14	1167
OTU18	1092
OTU19	1064
OTU20	949
OTU16	940
OTU17	902
OTU21	883
OTU22	837
OTU26	820
OTU111	748
OTU23	719
OTU24	674
OTU35	639
OTU28	597
OTU27	569
OTU29	509
OTU38	483
OTU32	420
OTU33	406
OTU34	397
OTU31	370
OTU30	356
OTU52	330
OTU149	313
OTU36	282
OTU39	278
OTU43	272
OTU42	267
OTU40	264
OTU37	259
OTU48	251
OTU45	243
OTU47	240
OTU44	235
OTU46	232
OTU41	228
OTU56	212
OTU50	208
OTU49	200
OTU53	166
OTU58	156
OTU51	150
OTU54	142
OTU60	134
OTU62	122
OTU59	115
OTU74	114
OTU55	107
OTU82	103
OTU57	102
OTU61	100
OTU65	100
OTU70	96
OTU67	95
OTU68	92
OTU64	90
OTU159	88
OTU63	84
OTU95	77
OTU73	74
OTU69	73
OTU72	72
OTU66	71
OTU75	69
OTU79	68
OTU78	67
OTU86	66
OTU77	57
OTU71	55
OTU81	54
OTU94	51
OTU76	49
OTU91	49
OTU84	47
OTU96	46
OTU99	45
OTU83	41
OTU170	40
OTU80	39
OTU88	38
OTU87	34
OTU85	32
OTU90	31
OTU97	29
OTU101	29
OTU93	28
OTU179	27
OTU100	27
OTU89	26
OTU114	26
OTU92	25
OTU113	25
OTU102	19
OTU103	18
OTU112	18
OTU121	18
OTU98	17
OTU105	16
OTU106	16
OTU107	16
OTU110	14
OTU104	14
OTU108	13
OTU116	13
OTU115	12
OTU165	11
OTU122	11
OTU124	10
OTU118	10
OTU120	10
OTU123	9
OTU142	9
OTU127	9
OTU134	9
OTU131	9
OTU137	9
OTU126	9
OTU130	8
OTU125	8
OTU117	8
OTU140	8
OTU163	7
OTU145	7
OTU155	7
OTU133	7
OTU146	6
OTU180	6
OTU135	6
OTU154	6
OTU162	6
OTU119	6
OTU139	6
OTU128	6
OTU136	5
OTU132	5
OTU171	5
OTU158	5
OTU169	5
OTU143	5
OTU174	5
OTU172	5
OTU167	4
OTU156	4
OTU144	4
OTU152	4
OTU153	4
OTU151	4
OTU141	4
OTU138	4
OTU182	4
OTU173	3
OTU166	3
OTU175	3
OTU147	3
OTU160	3
OTU181	3
OTU164	2
OTU176	2
OTU177	2
